"id","book","book_num","chapter","chapter_num","character","character_words","scene_description","writer","director","imdb_rating","new_scene","scene_id"
49,"Water",1,"The Boy in the Iceberg",1,"Iroh","Or it's just the celestial lights. We've been down this road before, Prince Zuko.  I don't want you to get too excited over nothing.  Please, sit. Why don't you enjoy a cup of calming Jasmine tea?","[He looks at the tile in his hand, depicting the symbol of airbending.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,18
49,"Water",1,"The Boy in the Iceberg",1,"Iroh","Or it's just the celestial lights. We've been down this road before, Prince Zuko.  I don't want you to get too excited over nothing.  Please, sit. Why don't you enjoy a cup of calming Jasmine tea?","[He places it on a tile carrying the symbol of firebending and gestures toward the open place at the other side of the table while continuing in a relaxed voice.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,18
50,"Water",1,"The Boy in the Iceberg",1,"Zuko","I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!","[Furiously, still facing Iroh.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,18
52,"Water",1,"The Boy in the Iceberg",1,"Sokka","Stop!","[Brandishing his spear in defense once again.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,19
54,"Water",1,"The Boy in the Iceberg",1,"Katara","Stop it!","[Waves the spear away. Annoyed.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,20
56,"Water",1,"The Boy in the Iceberg",1,"Aang","I need to ask you something ...","[In a weak voice.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,21
57,"Water",1,"The Boy in the Iceberg",1,"Katara","What?",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,21
58,"Water",1,"The Boy in the Iceberg",1,"Aang","Please ... come closer.",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,21
59,"Water",1,"The Boy in the Iceberg",1,"Katara","What is it?","[Curiously.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,21
60,"Water",1,"The Boy in the Iceberg",1,"Aang","Will you go penguin sledding with me?","[In a clear, happy, hopeful tone.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,21
61,"Water",1,"The Boy in the Iceberg",1,"Katara","Uh, sure ... I-I guess.","[Awkwardly.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,21
63,"Water",1,"The Boy in the Iceberg",1,"Aang","What's going on here?","[Looking around and rubbing his head, while Katara scrambles on her feet.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,22
64,"Water",1,"The Boy in the Iceberg",1,"Sokka","You tell us!  How did you get in the ice? And why aren't you frozen?","[Aggressively.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,22
64,"Water",1,"The Boy in the Iceberg",1,"Sokka","You tell us!  How did you get in the ice? And why aren't you frozen?","[Points at the top of the crater.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,22
64,"Water",1,"The Boy in the Iceberg",1,"Sokka","You tell us!  How did you get in the ice? And why aren't you frozen?","[He pokes the boy in his side with his spear.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,22
65,"Water",1,"The Boy in the Iceberg",1,"Aang","I'm ... not sure.","[Lazily pushes the spear away.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,22
67,"Water",1,"The Boy in the Iceberg",1,"Aang","Appa! Are you all right?  Wake up, buddy.","[Exclaims happily.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,23
67,"Water",1,"The Boy in the Iceberg",1,"Aang","Appa! Are you all right?  Wake up, buddy.","[He hangs down the side of the beast to look at its eyes, which are still closed.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,23
69,"Water",1,"The Boy in the Iceberg",1,"Aang","Ha, ha! You're okay!","[Laughing cheerfully.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,24
71,"Water",1,"The Boy in the Iceberg",1,"Sokka","What is that thing?",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,25
72,"Water",1,"The Boy in the Iceberg",1,"Aang","This is Appa, my flying bison.",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,25
73,"Water",1,"The Boy in the Iceberg",1,"Sokka","Right, and this is Katara, my flying sister.","[Sarcastically.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,25
73,"Water",1,"The Boy in the Iceberg",1,"Sokka","Right, and this is Katara, my flying sister.","[Katara shoots him an odd look.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,25
75,"Water",1,"The Boy in the Iceberg",1,"Aang","Don't worry, it'll wash out.  So do you guys live around here?","[Cheerfully.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
75,"Water",1,"The Boy in the Iceberg",1,"Aang","Don't worry, it'll wash out.  So do you guys live around here?","[Green slime is hanging from Sokka's face to his glove, dripping down as he retracts his hand. Katara covers her mouth in disgust.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
76,"Water",1,"The Boy in the Iceberg",1,"Sokka","Don't answer that! Did you see that crazy bolt of light?! He was probably trying to signal the Fire Navy!","[Pointing his spear accusingly again at Aang who is surprised to see the thing.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
77,"Water",1,"The Boy in the Iceberg",1,"Katara","Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that evil look in his eye.  The paranoid one is my brother, Sokka. You never told us your name.","[Pushes Sokka's spear away again and addresses him sarcastically.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
77,"Water",1,"The Boy in the Iceberg",1,"Katara","Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that evil look in his eye.  The paranoid one is my brother, Sokka. You never told us your name.","[Aang shoots the two an earnest grin.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
78,"Water",1,"The Boy in the Iceberg",1,"Aang","I'm A ... a-a-a-Achoo!  I'm Aang.","[The boy sneezes, creating an air blast that sends him soaring into the air. He lands on the ground, unharmed.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
78,"Water",1,"The Boy in the Iceberg",1,"Aang","I'm A ... a-a-a-Achoo!  I'm Aang.","[He sniffles a bit.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
79,"Water",1,"The Boy in the Iceberg",1,"Sokka","You just sneezed ...  and flew ten feet in the air!","[Total disbelief.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
79,"Water",1,"The Boy in the Iceberg",1,"Sokka","You just sneezed ...  and flew ten feet in the air!","[Points to the sky.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
80,"Water",1,"The Boy in the Iceberg",1,"Aang","Really? It felt higher than that.","[He looks questioningly toward the sky.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
81,"Water",1,"The Boy in the Iceberg",1,"Katara","You're an airbender!","[Gasps for air in comprehension.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
82,"Water",1,"The Boy in the Iceberg",1,"Aang","Sure am!",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
83,"Water",1,"The Boy in the Iceberg",1,"Sokka","Giant light beams, flying bison, airbenders ...  I think I got midnight sun madness. I'm going home to where stuff makes sense.","[Walks away.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
83,"Water",1,"The Boy in the Iceberg",1,"Sokka","Giant light beams, flying bison, airbenders ...  I think I got midnight sun madness. I'm going home to where stuff makes sense.","[He realizes, however, that he is stranded in the middle of the ocean with no way home.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
84,"Water",1,"The Boy in the Iceberg",1,"Aang","Well, if you guys are stuck, Appa and I can give you a lift.","[Aang airbends himself onto Appa.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
85,"Water",1,"The Boy in the Iceberg",1,"Katara","We'd love a ride! Thanks!","[Katara runs to the side of the bison.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
86,"Water",1,"The Boy in the Iceberg",1,"Sokka","Oh no! I'm not getting on that fluffy snot monster!",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
87,"Water",1,"The Boy in the Iceberg",1,"Katara","Are you hoping some other kind of monster will come along and give you a ride home? You know, before you freeze to death?","[While climbing on top of Appa with the help of Aang.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,26
89,"Water",1,"The Boy in the Iceberg",1,"Aang","Okay, first time flyers, hold on tight! Appa, yip-yip!",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,27
91,"Water",1,"The Boy in the Iceberg",1,"Aang","Come on, Appa. Yip-yip!",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,28
92,"Water",1,"The Boy in the Iceberg",1,"Sokka","Wow, that was truly amazing ...","[Sarcastically.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,28
93,"Water",1,"The Boy in the Iceberg",1,"Aang","Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see.","[Katara shoots her brother an angry glance.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,28
